name,selected,shared.name,symbol,moduleColor,Abs.GS.flux.,MM.darkred,node_type,source
AN3275,false,AN3275,CYP567E1,NA,NA,NA,NA,NA
AN3276,false,AN3276,AN3276,NA,NA,NA,NA,NA
AN3277,false,AN3277,AN3277,NA,NA,NA,NA,NA
AN3278,false,AN3278,AN3278,NA,NA,NA,NA,NA
AN3279,false,AN3279,AN3279,NA,NA,NA,NA,NA
AN3280,false,AN3280,AN3280,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN3281,false,AN3281,CYP567D1,NA,NA,NA,NA,NA
AN3282,false,AN3282,AN3282,NA,NA,NA,NA,NA
AN3284,false,AN3284,AN3284,NA,NA,NA,NA,NA
AN3285,false,AN3285,AN3285,darkred,0.5537476,0.8703998,Target,NA
AN3286,false,AN3286,AN3286,darkred,0.6939856,0.8517012,Target,NA
AN3287,false,AN3287,AN3287,NA,NA,NA,NA,NA
AN3290,false,AN3290,AN3290,brown,0.1323886,-0.01762947,Transcription factor,Extebeste et al. 2021
AN3291,false,AN3291,AN3291,NA,NA,NA,NA,NA
AN3293,false,AN3293,AN3293,NA,NA,NA,NA,NA
AN3294,false,AN3294,AN3294,darkmagenta,0.421932,0.6003467,Target,NA
AN3295,false,AN3295,AN3295,NA,NA,NA,NA,NA
AN3296,false,AN3296,AN3296,darkorange,0.07187005,-0.3052716,Target,NA
AN3297,false,AN3297,manB,NA,NA,NA,NA,NA
AN3298,false,AN3298,AN3298,NA,NA,NA,NA,NA
AN3299,false,AN3299,AN3299,brown,0.1086355,-0.2522938,Target,NA
AN3300,false,AN3300,AN3300,brown,0.02916381,-0.1248127,Transcription factor,Extebeste et al. 2021
AN3301,false,AN3301,AN3301,darkgrey,0.553734,-0.4104172,Target,NA
AN3302,false,AN3302,artF,NA,NA,NA,NA,NA
AN3303,false,AN3303,AN3303,NA,NA,NA,NA,NA
AN3304,false,AN3304,AN3304,NA,NA,NA,NA,NA
AN3305,false,AN3305,AN3305,NA,NA,NA,NA,NA
AN3306,false,AN3306,AN3306,NA,NA,NA,NA,NA
AN3307,false,AN3307,agsB,green,0.2984375,0.3476701,Target,NA
AN3308,false,AN3308,amyD,red,0.262953,-0.5273733,Target,NA
AN3309,false,AN3309,amyG,red,0.2204981,-0.5389094,Target,NA
AN3310,false,AN3310,AN3310,turquoise,0.07849963,-0.2051252,Target,NA
AN3311,false,AN3311,AN3311,NA,NA,NA,NA,NA
AN3312,false,AN3312,AN3312,green,0.1586146,0.1454416,Target,NA
AN3313,false,AN3313,AN3313,purple,0.2088251,0.2785033,Target,NA
AN3314,false,AN3314,AN3314,NA,NA,NA,NA,NA
AN3315,false,AN3315,AN3315,NA,NA,NA,NA,NA
AN3316,false,AN3316,AN3316,NA,NA,NA,NA,NA
AN3318,false,AN3318,AN3318,NA,NA,NA,NA,NA
AN3321,false,AN3321,AN3321,steelblue,0.01652591,-0.2261308,Target,NA
AN3322,false,AN3322,AN3322,NA,NA,NA,NA,NA
AN3325,false,AN3325,AN3325,NA,NA,NA,NA,NA
AN3327,false,AN3327,AN3327,NA,NA,NA,NA,NA
AN3328,false,AN3328,AN3328,NA,NA,NA,NA,NA
AN3329,false,AN3329,AN3329,NA,NA,NA,NA,NA
AN3330,false,AN3330,AN3330,NA,NA,NA,NA,NA
AN3331,false,AN3331,AN3331,NA,NA,NA,NA,NA
AN3333,false,AN3333,AN3333,NA,NA,NA,NA,NA
AN3334,false,AN3334,AN3334,NA,NA,NA,NA,NA
AN3336,false,AN3336,AN3336,NA,NA,NA,NA,NA
AN3337,false,AN3337,plyE,NA,NA,NA,NA,NA
AN3339,false,AN3339,AN3339,NA,NA,NA,NA,NA
AN3340,false,AN3340,AN3340,NA,NA,NA,NA,NA
AN3341,false,AN3341,AN3341,royalblue,0.5369095,0.6160836,Target,NA
AN3342,false,AN3342,AN3342,NA,NA,NA,NA,NA
AN3344,false,AN3344,ngn27,darkgreen,0.1347156,0.3444176,Target,NA
AN3345,false,AN3345,AN3345,NA,NA,NA,NA,NA
AN3346,false,AN3346,AN3346,NA,NA,NA,NA,NA
AN3347,false,AN3347,AN3347,darkmagenta,0.3832443,0.6638481,Target,NA
AN3348,false,AN3348,AN3348,darkmagenta,0.4178123,0.6743437,Target,NA
AN3349,false,AN3349,CYP659A1,violet,0.06134165,0.1385687,Target,NA
AN3351,false,AN3351,AN3351,NA,NA,NA,NA,NA
AN3352,false,AN3352,furC,NA,NA,NA,NA,NA
AN3354,false,AN3354,AN3354,NA,NA,NA,NA,NA
AN3355,false,AN3355,AN3355,black,0.073477893,-0.07117495,Target,NA
AN3356,false,AN3356,AN3356,royalblue,0.2169309,0.4584635,Transcription factor,Extebeste et al. 2021
AN3357,false,AN3357,AN3357,turquoise,0.3176834,-0.2555699,Target,NA
AN3358,false,AN3358,manA,NA,NA,NA,NA,NA
AN3359,false,AN3359,AN3359,darkgreen,0.4360358,0.6692272,Target,NA
AN3360,false,AN3360,AN3360,NA,NA,NA,NA,NA
AN3361,false,AN3361,nopA,darkturquoise,0.2267366,0.1095608,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN3363,false,AN3363,bimC,white,0.5541626,0.7117839,Target,NA
AN3366,false,AN3366,AN3366,black,0.103654069,-0.176277934,Target,NA
AN3367,false,AN3367,AN3367,red,0.6591968,-0.6460783,Target,NA
AN3368,false,AN3368,mndB,brown,0.1884323,-0.3350645,Target,NA
AN3369,false,AN3369,clrB,black,0.167383832,-0.384575835,Transcription factor,Extebeste et al. 2021
AN3370,false,AN3370,AN3370,blue,0.538500979,0.262306992,Target,NA
AN3371,false,AN3371,AN3371,turquoise,0.2461579,-0.08184384,Target,NA
AN3372,false,AN3372,scaA,darkred,0.4350572,0.8243766,Target,NA
AN3373,false,AN3373,AN3373,darkred,0.312591,0.5774195,Target,NA
AN3374,false,AN3374,AN3374,darkgreen,0.4584215,0.5713531,Target,NA
AN3375,false,AN3375,AN3375,saddlebrown,0.2468517,-0.03600903,Target,NA
AN3377,false,AN3377,AN3377,NA,NA,NA,NA,NA
AN3378,false,AN3378,AN3378,darkorange,0.2042933,-0.3137677,Target,NA
AN3379,false,AN3379,AN3379,NA,NA,NA,NA,NA
AN3380,false,AN3380,pkiB,NA,NA,NA,NA,NA
AN3381,false,AN3381,pkiC,NA,NA,NA,NA,NA
AN3382,false,AN3382,salA,NA,NA,NA,NA,NA
AN3383,false,AN3383,AN3383,NA,NA,NA,NA,NA
AN3384,false,AN3384,AN3384,NA,NA,NA,NA,NA
AN3385,false,AN3385,AN3385,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN3386,false,AN3386,pkiA,NA,NA,NA,NA,NA
AN3387,false,AN3387,gprD,darkorange,0.1269319,-0.1581264,GPCR,Lafon et al. 2006 Fungal Genetics & Biology
AN3388,false,AN3388,amyF,NA,NA,NA,NA,NA
AN3389,false,AN3389,xghA,NA,NA,NA,NA,NA
AN3390,false,AN3390,pmeA,NA,NA,NA,NA,NA
AN3391,false,AN3391,AN3391,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN3392,false,AN3392,AN3392,NA,NA,NA,NA,NA
AN3393,false,AN3393,pepI,NA,NA,NA,NA,NA
AN3394,false,AN3394,CYP620D1,NA,NA,NA,NA,NA
AN3395,false,AN3395,AN3395,NA,NA,NA,NA,NA
AN3396,false,AN3396,micA,darkgreen,0.1049246,0.4592855,Target,NA
AN3397,false,AN3397,AN3397,NA,NA,NA,NA,NA
AN3398,false,AN3398,AN3398,NA,NA,NA,NA,NA
AN3399,false,AN3399,AN3399,NA,NA,NA,NA,NA
AN3400,false,AN3400,AN3400,black,0.096426119,-0.295771177,Target,NA
AN3402,false,AN3402,amyB,NA,NA,NA,NA,NA
AN3403,false,AN3403,AN3403,NA,NA,NA,NA,NA
AN3404,false,AN3404,AN3404,NA,NA,NA,NA,NA
AN3405,false,AN3405,AN3405,brown,0.2029872,0.04311142,Target,NA
AN3406,false,AN3406,AN3406,NA,NA,NA,NA,NA
AN3407,false,AN3407,AN3407,turquoise,0.1558592,-0.3176096,Target,NA
AN3408,false,AN3408,AN3408,brown,0.02298315,-0.03201326,Target,NA
AN3409,false,AN3409,AN3409,black,0.210616862,-0.092411527,Target,NA
AN3410,false,AN3410,AN3410,NA,NA,NA,NA,NA
AN3411,false,AN3411,AN3411,purple,0.07672953,-0.006906813,Target,NA
AN3412,false,AN3412,AN3412,blue,0.1735017,0.1003324,Target,NA
AN3413,false,AN3413,AN3413,green,0.03501899,0.2689898,Target,NA
AN3414,false,AN3414,AN3414,turquoise,0.3432507,-0.2937527,Target,NA
AN3415,false,AN3415,AN3415,green,0.1795107,0.189728,Target,NA
AN3416,false,AN3416,ssoA,royalblue,0.2381021,0.599646,Target,NA
AN3417,false,AN3417,sgdD,green,0.07124238,0.1566047,Target,NA
AN3418,false,AN3418,eglB,NA,NA,NA,NA,NA
AN3419,false,AN3419,AN3419,turquoise,0.05531575,0.1040389,Target,NA
AN3420,false,AN3420,AN3420,turquoise,0.1884195,-0.09920501,Transcription factor,Extebeste et al. 2021
AN3421,false,AN3421,AN3421,greenyellow,0.02724104,0.05065649,Target,NA
AN3422,false,AN3422,ste7,brown,0.04327144,-0.05751336,Kinase,De Souza et al. 2013 PLoS One
AN3423,false,AN3423,spt6,darkgreen,0.1241295,0.5151134,Target,NA
AN3424,false,AN3424,AN3424,greenyellow,0.0595036,0.3383731,Target,NA
AN3425,false,AN3425,AN3425,turquoise,0.2887375,-0.08750485,Target,NA
AN3427,false,AN3427,AN3427,purple,0.1124278,-0.2108343,Target,NA
AN3429,false,AN3429,AN3429,greenyellow,0.2724727,0.2782522,Target,NA
AN3430,false,AN3430,AN3430,darkmagenta,0.4635008,0.4810139,Target,NA
AN3431,false,AN3431,nic10,green,0.2076523,0.1283435,Target,NA
AN3432,false,AN3432,AN3432,skyblue,0.1237304,-0.001110929,Target,NA
AN3433,false,AN3433,AN3433,turquoise,0.2455627,-0.004205631,Transcription factor,Extebeste et al. 2021
AN3434,false,AN3434,AN3434,darkgreen,0.3268149,0.5837339,Target,NA
AN3435,false,AN3435,lreA,turquoise,0.511042,-0.3400466,Transcription factor,Extebeste et al. 2021
AN3437,false,AN3437,apsB,darkturquoise,0.0603914,0.5046905,Target,NA
AN3438,false,AN3438,AN3438,blue,0.306275225,0.244277542,Target,NA
AN3439,false,AN3439,AN3439,turquoise,0.188184,0.06776373,Target,NA
AN3441,false,AN3441,orlA,darkgrey,0.6208132,-0.7252239,Target,NA
AN3442,false,AN3442,AN3442,darkgrey,0.5334039,-0.666789,Target,NA
AN3445,false,AN3445,AN3445,greenyellow,0.1144808,0.02369982,Target,NA
AN3446,false,AN3446,AN3446,NA,NA,NA,NA,NA
AN3447,false,AN3447,AN3447,turquoise,0.365934,-0.4283303,Target,NA
AN3448,false,AN3448,AN3448,darkmagenta,0.2583919,0.563373,Target,NA
AN3449,false,AN3449,AN3449,cyan,0.4599905,-0.6997162,Target,NA
AN3450,false,AN3450,cdc7,blue,0.401762876,0.344513482,Kinase,De Souza et al. 2013 PLoS One
AN3451,false,AN3451,AN3451,white,0.4970345,0.6940727,Target,NA
AN3452,false,AN3452,AN3452,turquoise,0.5983583,-0.5680605,Target,NA
AN3453,false,AN3453,AN3453,green,0.02236321,0.0931433,Target,NA
AN3454,false,AN3454,pom152,green,0.3471384,0.5237763,Target,NA
AN3455,false,AN3455,AN3455,steelblue,0.05496921,-0.171878,Target,NA
AN3456,false,AN3456,AN3456,black,0.149829432,-0.246292985,Target,NA
AN3457,false,AN3457,AN3457,greenyellow,0.2451278,0.2705074,Target,NA
AN3458,false,AN3458,AN3458,turquoise,0.1963936,-0.283986,Target,NA
AN3459,false,AN3459,AN3459,turquoise,0.5935048,-0.4456118,Target,NA
AN3461,false,AN3461,AN3461,green,0.2382506,0.2221041,Target,NA
AN3462,false,AN3462,AN3462,darkturquoise,0.07867157,0.3002315,Target,NA
AN3463,false,AN3463,AN3463,paleturquoise,0.0823898,0.09040708,Target,NA
AN3464,false,AN3464,AN3464,turquoise,0.2360091,-0.05673432,Target,NA
AN3465,false,AN3465,AN3465,darkturquoise,0.1433423,0.3522813,Target,NA
AN3466,false,AN3466,kgdB,green,0.3257723,-0.2040768,Target,NA
AN3467,false,AN3467,AN3467,darkolivegreen,0.1577528,-0.2232007,Target,NA
AN3468,false,AN3468,H2A.X,royalblue,0.2863762,0.6241066,Target,NA
AN3469,false,AN3469,H2B,royalblue,0.2349792,0.6063661,Target,NA
AN3470,false,AN3470,atg4,darkturquoise,0.1465799,0.4753443,Target,NA
AN3472,false,AN3472,AN3472,NA,NA,NA,NA,NA
AN3474,false,AN3474,AN3474,NA,NA,NA,NA,NA
AN3475,false,AN3475,AN3475,NA,NA,NA,NA,NA
AN3476,false,AN3476,AN3476,NA,NA,NA,NA,NA
AN3478,false,AN3478,AN3478,NA,NA,NA,NA,NA
AN3479,false,AN3479,AN3479,NA,NA,NA,NA,NA
AN3480,false,AN3480,AN3480,turquoise,0.2242437,0.09462768,Target,NA
AN3481,false,AN3481,AN3481,darkmagenta,0.2487375,0.6609751,Target,NA
AN3482,false,AN3482,AN3482,NA,NA,NA,NA,NA
AN3484,false,AN3484,AN3484,NA,NA,NA,NA,NA
AN3485,false,AN3485,AN3485,NA,NA,NA,NA,NA
AN3487,false,AN3487,AN3487,NA,NA,NA,NA,NA
AN3488,false,AN3488,AN3488,NA,NA,NA,NA,NA
AN3489,false,AN3489,AN3489,turquoise,0.2114433,-0.3960839,Target,NA
AN3490,false,AN3490,AN3490,darkgrey,0.2643241,-0.2891162,Target,NA
AN3491,false,AN3491,AN3491,black,0.223435587,-0.471496664,Target,NA
AN3492,false,AN3492,scpR,NA,NA,NA,NA,NA
AN3493,false,AN3493,inpE,cyan,0.4706276,-0.6231682,Target,NA
AN3495,false,AN3495,inpA,NA,NA,NA,NA,NA
AN3496,false,AN3496,inpB,NA,NA,NA,NA,NA
AN3497,false,AN3497,CYP623B2,royalblue,0.4433532,0.7882212,Target,NA
AN3498,false,AN3498,AN3498,blue,0.301722917,0.198642693,Target,NA
AN3499,false,AN3499,AN3499,darkgreen,0.01245511,0.2590376,Target,NA
AN3501,false,AN3501,AN3501,brown,0.3891608,0.4188913,Transcription factor,Extebeste et al. 2021
AN3502,false,AN3502,AN3502,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN3503,false,AN3503,AN3503,NA,NA,NA,NA,NA
AN3504,false,AN3504,AN3504,NA,NA,NA,NA,NA
AN3505,false,AN3505,AN3505,black,0.131817268,-0.310474654,Target,NA
AN3506,false,AN3506,AN3506,turquoise,0.3030854,-0.340857,Transcription factor,Extebeste et al. 2021
AN3507,false,AN3507,AN3507,NA,NA,NA,NA,NA
AN3508,false,AN3508,AN3508,NA,NA,NA,NA,NA
AN3509,false,AN3509,AN3509,NA,NA,NA,NA,NA
AN3512,false,AN3512,AN3512,NA,NA,NA,NA,NA
AN3513,false,AN3513,AN3513,greenyellow,0.2092765,0.05697175,Target,NA
AN3514,false,AN3514,AN3514,NA,NA,NA,NA,NA
AN3515,false,AN3515,AN3515,NA,NA,NA,NA,NA
AN3517,false,AN3517,AN3517,NA,NA,NA,NA,NA
AN3518,false,AN3518,AN3518,NA,NA,NA,NA,NA
AN3519,false,AN3519,AN3519,NA,NA,NA,NA,NA
